video_id,stage,title,url,ratings_list,average_rating
1,1,operators,https://youtu.be/v5MR5JnKcZI?si=khMf47aJuCFBCXth,"[1, 2, 3, 4, 4, 1, 3, 2]",2.5
2,1,operators,https://youtu.be/VdEfCoYaxfI?si=O65N7zcOEles8QHf,[],0.0
3,1,operators,https://youtu.be/XbjQ-heGd58?si=BcKqRybB3W2xXPmM,[],0.0
4,1,operators,https://youtu.be/GEMZpw7ug-k?si=AN0jrY-5nqupmmgO,[],0.0
5,1,operators,https://youtu.be/PyfKCvHALj8?si=jM6McmtYhF68K0k7,[],0.0
6,1,operators,https://youtu.be/W7luvtXeQTA?si=ZRbpbJfGco1hTrjv,[],0.0
7,1,operators,https://youtu.be/f02EiJt94pQ?si=0hw3ZJeBf3mvgmae,[],0.0
8,1,variables,https://youtu.be/TqPzwenhMj0?si=vvkhIywYYtG_Gs4t,[],0.0
9,1,variables,https://youtu.be/a43BIxiZ5EM?si=KqN6_L50uWMEIOzM,[],0.0
10,1,variables,https://youtu.be/_NOGsr_5Muc?si=9hhpZCn_o3lMOekN,[],0.0
11,1,variables,https://youtu.be/X6TcB0DNLE8?si=BHbF1kRZdEwNP3li,[],0.0
12,1,variables,https://youtu.be/Gf9wLsCJDqc?si=Je1nnnXXN90bgDwt,[],0.0
13,1,variables,https://youtu.be/cQT33yu9pY8?si=Wjy8tjVjnnATVkyt,[],0.0
14,1,variables,https://youtu.be/X6TcB0DNLE8?si=ysbMmnIWwzApDHDR,[],0.0
15,1,constants,https://youtu.be/mCIwMn2BNdU?si=aXpg7_W-Z0BF1enT,[],0.0
16,1,constants,https://youtu.be/MDCEB9FhHdw?si=0w4d1o4SxfooWNJg,[],0.0
17,1,constants,https://youtu.be/8X1G9QeLUSc?si=kbWsAwP-H9W6spCf,[],0.0
18,1,constants,https://youtu.be/k_WFkDGZK_k?si=ibwVfCfGTHmiWe84,[],0.0
19,1,constants,https://youtu.be/NunPMnbszGE?si=AgEqMwdI1Qv63JmS,[],0.0
20,1,constants,https://youtu.be/8JfopkGipRI?si=skEro2z9OtL5pTvK,[],0.0
21,1,constants,https://youtu.be/JVgO6lQBm64?si=UdpVfoGJpLwy8-ZK,[],0.0
